Team;Country
Argentinos;Argentina
Boca Juniors;Argentina
CA Rosario;Argentina
Chacarita Jrs;Argentina
Colón;Argentina
Estudiantes;Argentina
Gimnasia;Argentina
Independiente;Argentina
Lanús;Argentina
Newell's;Argentina
Racing Club;Argentina
River Plate;Argentina
San Lorenzo;Argentina
Vélez Sarsfield;Argentina
Sydney Olympic;Argentina
Atlético-MG;Brazil
Atlético-PR;Brazil
Avaí FC;Brazil
Coimbra-MG;Brazil
Corinthians;Brazil
Cruzeiro;Brazil
Desp. Brasil;Brazil
EC Vitória;Brazil
FC São Paulo B;Brazil
Figueirense FC;Brazil
Flamengo;Brazil
Fluminense;Brazil
Goiás EC;Brazil
Grêmio;Brazil
Guarani;Brazil
Internacional;Brazil
Iraty SC;Brazil
Ituano;Brazil
Juventude;Brazil
Palmeiras;Brazil
Paraná;Brazil
Ponte Preta;Brazil
Portuguesa;Brazil
Santos FC;Brazil
São Caetano;Brazil
São Paulo;Brazil
Tombense;Brazil
Vasco U17;Brazil
Vasco da Gama;Brazil
CSKA Sofia;Bulgaria
Levski Sofia;Bulgaria
Litex Lovetch;Bulgaria
Lok. Plovdiv;Bulgaria
Lok. Sofia;Bulgaria
Vancouver;Canada
Audax Italiano;Chile
CD Palestino;Chile
CDUC;Chile
Cobreloa;Chile
Colo Colo;Chile
U. de Chile;Chile
BJ Sinobo Guoan;Chile
DL Shide;Chile
Liaoning FC;Chile
SH Shenhua;Chile
Atl. Nacional;Colombia
Deportivo Cali;Colombia
Indep. Medellín;Colombia
Once Caldas;Colombia
Dinamo Zagreb;Croatia
Hajduk Split;Croatia
NK Varazdin;Croatia
NK Zagreb;Croatia
Banik Ostrava;CzechRepublic
FK Teplice;CzechRepublic
Slovan Liberec;CzechRepublic
Sparta Praha;CzechRepublic
Aalborg BK;Denmark
Akademisk BK;Denmark
FC Copenhagen;Denmark
FC Midtjylland;Denmark
Odense BK;Denmark
LDU Quito;Ecuador
Arsenal U23;England
Barnsley FC;England
Birmingham;England
Blackburn;England
Blackpool;England
Bolton;England
Bristol Rovers;England
Cambridge Utd.;England
Colchester Utd.;England
Fulham;England
Huddersfield;England
MK Dons;England
MK Dons U18;England
Norwich;England
QPR;England
Sheff Wed;England
Sheffield Utd.;England
Stoke City;England
Wigan;England
FC Lahti;Finland
Le Havre U19;France
Olymp. Lyon B;France
Asante Kotoko;Ghana
Persepolis;Iran
Busan IPark;South Korea
Suwon Bluewings;South Korea
Skonto Riga;Latvia
Atlas;Mexico
CD Cruz Azul;Mexico
CF Pachuca;Mexico
Chivas;Mexico
Morelia;Mexico
Necaxa;Mexico
Santos Laguna;Mexico
Toluca;Mexico
Sheriff;Moldova
Cerro Porteño;Paraguay
Olimpia;Paraguay
Alianza Lima;Peru
Alverca;Portugal
Benfica;Portugal
Braga;Portugal
Sporting CP;Portugal
Al Arabi;Qatar
Al Sadd;Qatar
Dinamo Bukarest;Romania
FCM Bacau;Romania
FCS Bucharest;Romania
Rapid Bucharest;Romania
Anzhi;Russia
CSKA Moscow;Russia
FK Moskau;Russia
Kuban Krasnodar;Russia
Lada Togliatti;Russia
Rubin Kazan;Russia
Uralan;Russia
Al Qadisiyah;SaudiArabia
Shabab;SaudiArabia
Celtic;Scotland
Dundee FC;Scotland
